songid,songname,length,popularity
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,213,84
47TqCCnEliDp8NRDyIQoQq,You Make Me Wanna...,219,71
2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,266,73
7J41dYQolQJEtj3UmKLu5r,U Got It Bad,247,75
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),250,86
68vgtRHr7iZHpzGpon6Jlo,My Boo,223,82
5j0McHPthKpOXRr3fBq8M0,Love in This Club (feat. Young Jeezy),259,76
28AUzRo0nQLESL55WDV0um,DJ Got Us Fallin' In Love (feat. Pitbull),220,52
1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),269,72
7z3N2W7Xz1t2G2sAO8wFVH,Burn,231,74
1tAutlhI9FwnKn7fVgmd5P,Without You (feat. Usher),208,66
7lVNTXkI3cHFvcXiI8damb,I Need a Girl (Pt. 1) [feat. Usher & Loon],268,65
7xYnUQigPoIDAMPVK79NEq,Run It! (feat. Juelz Santana),229,74
5Lgcn7u07bHuqbOtXkN62u,With You,252,75
3wKKkGVn7cVSfgPeYYIiXG,Kiss Kiss (feat. T-Pain),250,72
5F7IJrXD6Fa3EmqoYE0gU4,Say Goodbye,289,68
3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),222,71
2QtxlzvSBONjs1bDC34ixs,Yeah 3x,241,69
5BrTUo0xP1wKXLJWUaGFtk,Loyal (feat. Lil Wayne & Tyga),264,75
46lIt6GmL0VkkbuUyGDbCs,Got Money,244,57
27mhCGdAA8gM7b33KIiB3k,Cyclone (feat. T-Pain),222,58
5kxddRG1RZaZROadk7iC4D,Bartender (feat. Akon),238,0
2aIdVb8v9KTpEZnftkz2mD,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227,0
3n5qF6aprwEIjHWuH5jECM,The Boss,225,2
0F7rEdewJ6cSLylOZZpDu7,I'm Sprung,231,0
3xQCXDHNJXSVxECjTJCHFu,Can't Believe It (feat. Lil' Wayne),273,0
1lih9AUGlOI2qbAkptdBsr,I'm N Luv (Wit a Stripper) (feat. Mike Jones),265,0
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),231,83
08uGhvS5MfBk7crUCpnjva,Blame It,289,65
14blxrgE0VWAgv5aF2wWmx,Good Life,207,0
7g7M96UGiA7OR79H86gV4m,U and Dat (feat. T. Pain & Kandi Girl),202,64
0z5ZPs57J2KERwM1tBM2GF,6 Foot 7 Foot,248,0
2LvRR121MWFmmEGkuV2vQP,HeadBand (feat. 2 Chainz),220,65
05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti),241,66
6o3s08kk2fQI37vxGZDrJ1,Snap Yo Fingers,274,69
3ssX20QT5c3nA9wk78V1LQ,Ambitionz Az A Ridah,278,0
6ScJMrlpiLfZUGtWp4QIVt,A Milli,221,70
4PmMVdIFpJTB9WQbmILf4p,How We Do,235,76
7u6aTzXw1JtiK5sr7XctFs,Bring Em Out,216,0
7kAFSrTIOiVZ0gnHBuAH3l,Air Force Ones,304,62
2ajhenDRiiAnCHHjsIOHhJ,Laffy Taffy,224,68
4MeDnO5yA2Zi6IMlVApRci,Freek-A-Leek,235,70
6o2g1BJvtYQssH84kBYs7y,Back That Azz Up,265,67
0EHR9OObFtjlhQB8wSt1m7,Mrs. Officer,286,71
66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),221,76
0jSMveIWvnhDIvzqN74Uc7,Tipsy - Club Mix,243,66
2kQuhkFX7uSVepCD3h29g5,Smack That,212,85
7cVmKBwzPsh4Fmb6SplfEm,"Lean Wit It, Rock Wit It",229,61
024Q1MI4uaYHF6j2Q2ZYgF,Overnight Celebrity,233,57
6RUpJeXT6U4SPEafnr9Wr7,Where The Hood At,286,70
6u5M4jPpYkoRV4vVHDQvkd,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",227,0
4Kd0FzFpOgIGxlBl4HXuFn,Salt Shaker,252,62
3fyMH1t6UPeR5croea9PrR,Best I Ever Had,257,0
5rXkgeY6rpcHcsolCpXZHR,We Fly High,236,0
3IrkbGQCoEPAkzJ0Tkv8nm,Dirt Off Your Shoulder,245,64
7eJ5kRpMNPAk7ccCDKywjH,Tell Me When to Go (feat. Keak da Sneak),237,55
0WKYRFtH6KKbaNWjsxqm70,Gin And Juice (feat. Dat Nigga Daz),211,0
4tXA1TUmKvz7CbUT9LUHDx,X Gon' Give It To Ya,217,0
2Lg4kvhOrPhpGEZmSe7VAN,Country Grammar (Hot Shit),287,0
2Ozc0me9PV5vlt8cokwdvI,Lean Back,247,66
0k6HUzaRHpQ3eEWr1C7Esh,Ms. New Booty,252,61
70FCugJxa7XW04Np6iYJdI,21 Questions,224,75
0l3GEbH3CviUytD6iX4wzg,Right Thurr,250,69
3kZoay4ANo86ehb6s4RwS9,Ridin',303,69
4LwOrnuxJwR7C5Sw4liY4Z,What's Your Fantasy (Featuring Shawna),275,64
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,270,83
6ihObRBTB8xdSH2mlERtOX,Slow Motion,248,65
4RY96Asd9IefaL3X4LOLZ8,In Da Club,193,75
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,207,82
2JpUkUR0OsOlUUfm6iS8ic,Money Maker,230,59
6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean",240,72
0svl7cK07gK1ia5ainczU5,Break Ya Neck,231,1
06iMqWThw4w8fTFyccvOwr,Ride Wit Me,291,0
2mpFm3f7QmdsVtSAIICEB7,Candy Shop,208,0
503OTo2dSqe7qk76rgsbep,Still D.R.E.,270,82
4gdQ8QShlC3toP9Mkc8DwB,Oh Boy,204,1
4SyadrABZJIjeND1HPJS31,Rollout (My Business),296,60
5Y78yINSOCW6xbOfGWNBg4,Wait (The Whisper Song),179,58
0shK5iZQppbHPQYiy60xs9,Rosa Parks,324,66
6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,258,71
0OvwzS8FX73Bw7ykMRmffU,Put It On Me,262,64
2D1hlMwWWXpkc3CZJ5U351,P.I.M.P.,249,69
4TJduXYW1Pg96EDNnfiwxJ,Shake Ya Tailfeather - Radio Edit,295,63
5mNV8Mz59bzyuQ53gTw0c0,Where the Party At (feat. Nelly),232,66
2mKouqwAIdQnMP43zxR89r,What's Luv? (feat. Ja-Rule & Ashanti),267,77
5RC9YDHON0nXKmcQrL6WV6,Shawty Is Da Shit,262,61
04KTF78FFg8sOHC1BADqbY,Hot In Herre,228,76
4Tyv7nnNTHC6mR1pTubIrw,Drop It Like It's Hot,270,0
6YYd5MLpu45J0uLrMdivF7,Got Your Money (feat. Kelis),239,67
0FmCLEHfINGqwlyzvklNqy,Holidae In,314,57
22irp40MtAAatGBNsWE3du,Sunshine (feat. Lea),222,31
1MQCTOWVfy4PcuBXkBsHVB,Just a Friend,238,59
19VTqucnxJuH6kilNdweTh,Welcome to Atlanta (feat. Ludacris),200,54
3bMNprrp2JDKZsGbiXpsJl,My Chick Bad,216,65
7bYKMJI4z6mApjLhv4hOBM,Pimp Juice,292,51
18vdhCWxqPohnPwicDi3Xr,Dilemma,289,53
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,291,77
3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),287,69
3ZdJffjzJWFimSQyxgGIxN,Just A Dream,237,75
4bUfMNNmiCmPXVyWzIfKeZ,E.I.,285,63
1LnEW2Dx4pFZ4yZ4dXFY4f,Batter Up,327,56
3XlqAdd4uGkJpJ9rrtHJKH,Over And Over,253,35
004vX8VwOOzObeGsrdHomf,Hey Porsche,209,18
1yy2DlSDtEt90d54rPDPXz,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,306,69
2eOuL8KesslTLQERQPu11D,Bad Boy for Life,253,63
4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,257,74
2yr2HnFYl7XvqJk4fXoQBt,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257,64
3GMR3hyv8BccozoebVMve3,"It's All About the Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",278,53
6iajHa34cSiD5s42Cq9miJ,Peaches & Cream (feat. P. Diddy),225,51
1EM23A621Z0QyTlWKu7T1l,Can't Nobody Hold Me Down (feat. Mase),231,58
4hrae8atte6cRlSC9a7VCO,Always On Time,245,2
2iclfHORMqpR3TxuhwVRhD,Mesmerize,278,65
1kEruIJPLnM1agV8bnCmSZ,Livin' It Up,257,0
5Bi7SC49g4neuXwzgXBeFy,Ain't It Funny,236,0
7rOIWUhSfjWh4E7443PYE8,I'm Real - Murder Remix,258,0
0DBIL8arX0Zo6eAuxNIpik,Bump n' Grind,256,58
5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,186,68
1sVWMLqlYqOmd4praL4HxN,Happy Summertime (feat. Snoop Dogg),218,28
34I3bDyzo5pegaQysuQYx3,I'm a Flirt Remix (feat. T.I. & T-Pain) - Radio Version,316,27
67UivNNJwBPb8XS7r4fGmf,When a Woman Loves,310,39
771lQyKAtqXRpZ7iM4JsbP,Fuck Tha Police,345,0
3JdyhQORbJkCWT8xfLd8gD,Boyz-N-The-Hood - Remix,379,64
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,222,79
4MeSMK38Szi6mtnmdWKBG1,Because I Got High,310,0
20LxTsa6936zOlzTWqoPVt,The Next Episode,161,0
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),256,71
53BZ6XygAoubR5DU5w38Vq,Real Muthaphuckkin' G's,332,64
2oTDOIAdsxPTE7yAp4YOcv,Jump Around,214,0
2NRQ80uXOLkfNMXsjuBOxB,Gangsta Gangsta,336,0
