artistid,songid
3QT9g7gDQTUKdoShU4HdXM,627IFsuW7eFp9Mj5dg5cQr
4pnp4w9g30yLfVIAFnZMRd,20on25jryn53hWghthWWW3
1c70yCa8sRgIiQxl3HOEFo,20on25jryn53hWghthWWW3
2tIP7SsRs7vjIcLrU85W8J,5HCyWlXZPP0y6Gqq8TgA20
1uNFoZAHBGtllmzznpCI3s,5HCyWlXZPP0y6Gqq8TgA20
0eDvMgVFoNV3TpwtrVCoTj,0PvFJmanyNQMseIFrU708S
5f7VJjfbwm532GiveGC0ZK,0PvFJmanyNQMseIFrU708S
4r63FhuTkUYltbVAg5TQnk,0PvFJmanyNQMseIFrU708S
4yvcSjfu4PC0CYQyLy4wSq,3USxtqRwSYz57Ewm6wWRMp
3TVXtAsR1Inumwj472S9r4,2SAqBLGA283SUiwJ3xOUVI
3hcs9uc56yIGFCSy9leWe7,2SAqBLGA283SUiwJ3xOUVI
0eDvMgVFoNV3TpwtrVCoTj,1tkg4EHVoqnhR6iFEXb60y
4Ga1P7PMIsmqEZqhYZQgDo,21AJQhGZpujjZQXByZAXpr
2hlmm7s2ICUX0LVIhVFlZQ,21AJQhGZpujjZQXByZAXpr
3TVXtAsR1Inumwj472S9r4,5uA5D9o5jGFuITTw3aXQgB
0Y5tJX1MQlPlqiwlOH1tJY,5uA5D9o5jGFuITTw3aXQgB
4r63FhuTkUYltbVAg5TQnk,7ytR5pFWmSjzHJIeQkgog4
757aE44tKEUQEqRuT6GnEB,7ytR5pFWmSjzHJIeQkgog4
2kCO8LXN1usaOPL3iEE28I,7GZXPa81LzAgzmVg9G6BUM
6fWVd57NKTalqvmjRd2t8Z,7GZXPa81LzAgzmVg9G6BUM
3ciRvbBIVz9fBoPbtSYq4x,39jxVaEhI8R7csdu7GAjmL
4z9vT1dkrovMxFPrEnbkP4,39jxVaEhI8R7csdu7GAjmL
3ciRvbBIVz9fBoPbtSYq4x,1bTphHXspys3RvvRxfzzIc
5einkgXXrjhfYCyac1FANB,1bTphHXspys3RvvRxfzzIc
3ciRvbBIVz9fBoPbtSYq4x,41PWz0hAiU9FqsmjR9Wh62
23zg3TcAtWQy7J6upgbUnj,41PWz0hAiU9FqsmjR9Wh62
3ipn9JLAPI5GUEo4y4jcoi,41PWz0hAiU9FqsmjR9Wh62
3ciRvbBIVz9fBoPbtSYq4x,7MSwclTvW6KLLkTbmw9FUQ
3D04N2X2w6vUGeyG94FBaY,7MSwclTvW6KLLkTbmw9FUQ
3ciRvbBIVz9fBoPbtSYq4x,3HnhrVBybVBzp9yEQcAzfC
3Mcii5XWf6E0lrY3Uky4cA,3HnhrVBybVBzp9yEQcAzfC
3ciRvbBIVz9fBoPbtSYq4x,4X13MIZR2P4mon0udxgKhW
5pnbUBPifNnlusY8kTBivi,4X13MIZR2P4mon0udxgKhW
2x8KDZdSONA3872CnhaAlX,4X13MIZR2P4mon0udxgKhW
3ciRvbBIVz9fBoPbtSYq4x,6LmDWlzYKzg6Y3lbuV4jgw
0rkDjsewFjH9KqV4jCiEik,6LmDWlzYKzg6Y3lbuV4jgw
4sb7rZNN93BSS6Gqgepo4v,6LmDWlzYKzg6Y3lbuV4jgw
2OqENqJFXPORP4BUGnu2Qq,2QJsUSpI6tuKFiKJKOLfOU
5einkgXXrjhfYCyac1FANB,4ubprxt14HoeppCGViXXfN
6cwlhbT6PnscdmUYCLUJsa,79jaa2QGadIViTda6v5Q31
7iMvwE8qANp3aIfAGKEAwS,79jaa2QGadIViTda6v5Q31
5pnbUBPifNnlusY8kTBivi,79jaa2QGadIViTda6v5Q31
1YfEcTuGvBQ8xSD1f53UnK,79jaa2QGadIViTda6v5Q31
